;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 04/12/2013 8:55:45 SA
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF005EF0F  	GOTO        2590
_interrupt:
;soundrec.c,407 :: 		void interrupt()
0x0008	0xF016C000  	MOVFF       R0, 22
0x000C	0xF015C001  	MOVFF       R1, 21
;soundrec.c,409 :: 		if (PIR1.TMR1IF == 1) {
0x0010	0xF019CFE1  	MOVFF       FSR1L, 25
0x0014	0xF01ACFE2  	MOVFF       FSR1H, 26
0x0018	0xF017CFE9  	MOVFF       FSR0L, 23
0x001C	0xF018CFEA  	MOVFF       FSR0H, 24
0x0020	0xA09E      	BTFSS       PIR1, 0 
0x0022	0xD03E      	BRA         L_interrupt55
;soundrec.c,411 :: 		PIR1.TMR1IF = 0;
0x0024	0x909E      	BCF         PIR1, 0 
;soundrec.c,416 :: 		TMR1H = timerH;
0x0026	0xFFCFC026  	MOVFF       soundrec_timerH, TMR1H
;soundrec.c,417 :: 		TMR1L = timerL;
0x002A	0xFFCEC01B  	MOVFF       soundrec_timerL, TMR1L
;soundrec.c,419 :: 		if (mode == 1) { /* Record mode */
0x002E	0x5028      	MOVF        _mode, 0 
0x0030	0x0A01      	XORLW       1
0x0032	0xE109      	BNZ         L_interrupt56
;soundrec.c,421 :: 		GO_bit = 1;
0x0034	0x82C2      	BSF         GO_bit, BitPos(GO_bit+0) 
;soundrec.c,424 :: 		LATC |= (1 << 6);
0x0036	0x8C8B      	BSF         LATC, 6 
;soundrec.c,425 :: 		Delay_us(1);
0x0038	0x0000      	NOP
0x003A	0x0000      	NOP
0x003C	0x0000      	NOP
0x003E	0x0000      	NOP
0x0040	0x0000      	NOP
;soundrec.c,426 :: 		LATC &= ~(1 << 6);
0x0042	0x9C8B      	BCF         LATC, 6 
;soundrec.c,427 :: 		}
0x0044	0xD02D      	BRA         L_interrupt57
L_interrupt56:
;soundrec.c,430 :: 		LATD = *(ptr + (ptrIndex++));
0x0046	0x503F      	MOVF        soundrec_ptrIndex, 0 
0x0048	0x242A      	ADDWF       soundrec_ptr, 0 
0x004A	0x6EE9      	MOVWF       FSR0L 
0x004C	0x5040      	MOVF        soundrec_ptrIndex+1, 0 
0x004E	0x202B      	ADDWFC      soundrec_ptr+1, 0 
0x0050	0x6EEA      	MOVWF       FSR0H 
0x0052	0xF000CFEE  	MOVFF       POSTINC0, R0
0x0056	0xFF8CC000  	MOVFF       R0, LATD
0x005A	0x0E01      	MOVLW       1
0x005C	0x243F      	ADDWF       soundrec_ptrIndex, 0 
0x005E	0x6E00      	MOVWF       R0 
0x0060	0x0E00      	MOVLW       0
0x0062	0x2040      	ADDWFC      soundrec_ptrIndex+1, 0 
0x0064	0x6E01      	MOVWF       R1 
0x0066	0xF03FC000  	MOVFF       R0, soundrec_ptrIndex
0x006A	0xF040C001  	MOVFF       R1, soundrec_ptrIndex+1
;soundrec.c,433 :: 		if (ptrIndex == 512) {
0x006E	0x5040      	MOVF        soundrec_ptrIndex+1, 0 
0x0070	0x0A02      	XORLW       2
0x0072	0xE102      	BNZ         L__interrupt72
0x0074	0x0E00      	MOVLW       0
0x0076	0x183F      	XORWF       soundrec_ptrIndex, 0 
L__interrupt72:
0x0078	0xE113      	BNZ         L_interrupt58
;soundrec.c,434 :: 		ptrIndex = 0;
0x007A	0x6A3F      	CLRF        soundrec_ptrIndex 
0x007C	0x6A40      	CLRF        soundrec_ptrIndex+1 
;soundrec.c,435 :: 		bufferFull = 1;
0x007E	0x0E01      	MOVLW       1
0x0080	0x6E29      	MOVWF       _bufferFull 
;soundrec.c,436 :: 		if (currentBuffer == 0)	{
0x0082	0x5046      	MOVF        _currentBuffer, 0 
0x0084	0x0A00      	XORLW       0
0x0086	0xE107      	BNZ         L_interrupt59
;soundrec.c,437 :: 		ptr = buffer1;
0x0088	0x0E47      	MOVLW       _buffer1
0x008A	0x6E2A      	MOVWF       soundrec_ptr 
0x008C	0x0E02      	MOVLW       hi_addr(_buffer1)
0x008E	0x6E2B      	MOVWF       soundrec_ptr+1 
;soundrec.c,438 :: 		currentBuffer = 1;
0x0090	0x0E01      	MOVLW       1
0x0092	0x6E46      	MOVWF       _currentBuffer 
;soundrec.c,439 :: 		}
0x0094	0xD005      	BRA         L_interrupt60
L_interrupt59:
;soundrec.c,441 :: 		ptr = buffer0;
0x0096	0x0E47      	MOVLW       _buffer0
0x0098	0x6E2A      	MOVWF       soundrec_ptr 
0x009A	0x0E00      	MOVLW       hi_addr(_buffer0)
0x009C	0x6E2B      	MOVWF       soundrec_ptr+1 
;soundrec.c,442 :: 		currentBuffer = 0;
0x009E	0x6A46      	CLRF        _currentBuffer 
;soundrec.c,443 :: 		}
L_interrupt60:
;soundrec.c,444 :: 		}
L_interrupt58:
;soundrec.c,445 :: 		}
L_interrupt57:
;soundrec.c,446 :: 		}
L_interrupt55:
;soundrec.c,448 :: 		if (PIR1 & (1 << ADIF)) {
0x00A0	0xAC9E      	BTFSS       PIR1, 6 
0x00A2	0xD02E      	BRA         L_interrupt61
;soundrec.c,450 :: 		PIR1 &= ~(1 << ADIF);
0x00A4	0x9C9E      	BCF         PIR1, 6 
;soundrec.c,453 :: 		adcResult = ADRESH;
0x00A6	0xF027CFC4  	MOVFF       ADRESH, _adcResult
;soundrec.c,455 :: 		*(ptr + (ptrIndex++)) = adcResult;
0x00AA	0x503F      	MOVF        soundrec_ptrIndex, 0 
0x00AC	0x242A      	ADDWF       soundrec_ptr, 0 
0x00AE	0x6EE1      	MOVWF       FSR1L 
0x00B0	0x5040      	MOVF        soundrec_ptrIndex+1, 0 
0x00B2	0x202B      	ADDWFC      soundrec_ptr+1, 0 
0x00B4	0x6EE2      	MOVWF       FSR1H 
0x00B6	0xFFE6C027  	MOVFF       _adcResult, POSTINC1
0x00BA	0x0E01      	MOVLW       1
0x00BC	0x243F      	ADDWF       soundrec_ptrIndex, 0 
0x00BE	0x6E00      	MOVWF       R0 
0x00C0	0x0E00      	MOVLW       0
0x00C2	0x2040      	ADDWFC      soundrec_ptrIndex+1, 0 
0x00C4	0x6E01      	MOVWF       R1 
0x00C6	0xF03FC000  	MOVFF       R0, soundrec_ptrIndex
0x00CA	0xF040C001  	MOVFF       R1, soundrec_ptrIndex+1
;soundrec.c,458 :: 		if (ptrIndex == 512)
0x00CE	0x5040      	MOVF        soundrec_ptrIndex+1, 0 
0x00D0	0x0A02      	XORLW       2
0x00D2	0xE102      	BNZ         L__interrupt73
0x00D4	0x0E00      	MOVLW       0
0x00D6	0x183F      	XORWF       soundrec_ptrIndex, 0 
L__interrupt73:
0x00D8	0xE113      	BNZ         L_interrupt62
;soundrec.c,460 :: 		ptrIndex = 0;
0x00DA	0x6A3F      	CLRF        soundrec_ptrIndex 
0x00DC	0x6A40      	CLRF        soundrec_ptrIndex+1 
;soundrec.c,461 :: 		bufferFull = 1;
0x00DE	0x0E01      	MOVLW       1
0x00E0	0x6E29      	MOVWF       _bufferFull 
;soundrec.c,462 :: 		if (currentBuffer == 0)
0x00E2	0x5046      	MOVF        _currentBuffer, 0 
0x00E4	0x0A00      	XORLW       0
0x00E6	0xE107      	BNZ         L_interrupt63
;soundrec.c,464 :: 		ptr = buffer1;
0x00E8	0x0E47      	MOVLW       _buffer1
0x00EA	0x6E2A      	MOVWF       soundrec_ptr 
0x00EC	0x0E02      	MOVLW       hi_addr(_buffer1)
0x00EE	0x6E2B      	MOVWF       soundrec_ptr+1 
;soundrec.c,465 :: 		currentBuffer = 1;
0x00F0	0x0E01      	MOVLW       1
0x00F2	0x6E46      	MOVWF       _currentBuffer 
;soundrec.c,466 :: 		}
0x00F4	0xD005      	BRA         L_interrupt64
L_interrupt63:
;soundrec.c,469 :: 		ptr = buffer0;
0x00F6	0x0E47      	MOVLW       _buffer0
0x00F8	0x6E2A      	MOVWF       soundrec_ptr 
0x00FA	0x0E00      	MOVLW       hi_addr(_buffer0)
0x00FC	0x6E2B      	MOVWF       soundrec_ptr+1 
;soundrec.c,470 :: 		currentBuffer = 0;
0x00FE	0x6A46      	CLRF        _currentBuffer 
;soundrec.c,471 :: 		}
L_interrupt64:
;soundrec.c,472 :: 		}
L_interrupt62:
;soundrec.c,473 :: 		}
L_interrupt61:
;soundrec.c,474 :: 		}
L_end_interrupt:
L__interrupt71:
0x0100	0xF000C016  	MOVFF       22, R0
0x0104	0xF001C015  	MOVFF       21, R1
0x0108	0xFFE9C017  	MOVFF       23, FSR0L
0x010C	0xFFEAC018  	MOVFF       24, FSR0H
0x0110	0xFFE1C019  	MOVFF       25, FSR1L
0x0114	0xFFE2C01A  	MOVFF       26, FSR1H
0x0118	0x0011      	RETFIE      1
; end of _interrupt
_SPI1_Read:
;__Lib_SPI_c345.c,67 :: 		
;__Lib_SPI_c345.c,68 :: 		
0x011A	0xFFC9C469  	MOVFF       FARG_SPI1_Read_buffer, SSPBUF
;__Lib_SPI_c345.c,69 :: 		
L_SPI1_Read6:
0x011E	0xB0C7      	BTFSC       SSPSTAT, 0 
0x0120	0xD002      	BRA         L_SPI1_Read7
;__Lib_SPI_c345.c,70 :: 		
0x0122	0x0000      	NOP
0x0124	0xD7FC      	BRA         L_SPI1_Read6
L_SPI1_Read7:
;__Lib_SPI_c345.c,71 :: 		
0x0126	0xF000CFC9  	MOVFF       SSPBUF, R0
;__Lib_SPI_c345.c,72 :: 		
L_end_SPI1_Read:
0x012A	0x0012      	RETURN      0
; end of _SPI1_Read
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x012C	0x0E53      	MOVLW       83
0x012E	0x6E0D      	MOVWF       R13, 0
L_Delay_50us2:
0x0130	0x2E0D      	DECFSZ      R13, 1, 0
0x0132	0xD7FE      	BRA         L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x0134	0x0012      	RETURN      0
; end of _Delay_50us
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x0136	0x0000      	NOP
0x0138	0x0000      	NOP
0x013A	0x0000      	NOP
0x013C	0x0000      	NOP
0x013E	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x0140	0x0012      	RETURN      0
; end of _Delay_1us
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x0142	0x0E24      	MOVLW       36
0x0144	0x6E0C      	MOVWF       R12, 0
0x0146	0x0EB5      	MOVLW       181
0x0148	0x6E0D      	MOVWF       R13, 0
L_Delay_5500us5:
0x014A	0x2E0D      	DECFSZ      R13, 1, 0
0x014C	0xD7FE      	BRA         L_Delay_5500us5
0x014E	0x2E0C      	DECFSZ      R12, 1, 0
0x0150	0xD7FC      	BRA         L_Delay_5500us5
0x0152	0x0000      	NOP
0x0154	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x0156	0x0012      	RETURN      0
; end of _Delay_5500us
_____DoIFC:
;__Lib_System.c,93 :: 		
;__Lib_System.c,94 :: 		
0x0158	0x50F2      	MOVF        INTCON, 0, 0
;__Lib_System.c,95 :: 		
0x015A	0x6E02      	MOVWF       R2, 0
;__Lib_System.c,96 :: 		
0x015C	0x9EF2      	BCF         INTCON, 7 
;__Lib_System.c,97 :: 		
0x015E	0x0005      	PUSH
;__Lib_System.c,98 :: 		
0x0160	0x6AFF      	CLRF        TOSU, 0
;__Lib_System.c,99 :: 		
0x0162	0x5001      	MOVF        R1, 0, 0
;__Lib_System.c,100 :: 		
0x0164	0x6EFE      	MOVWF       TOSH, 0
;__Lib_System.c,101 :: 		
0x0166	0x5000      	MOVF        R0, 0, 0
;__Lib_System.c,102 :: 		
0x0168	0x6EFD      	MOVWF       TOSL, 0
;__Lib_System.c,103 :: 		
0x016A	0xBE02      	BTFSC       R2, 7, 0
;__Lib_System.c,104 :: 		
0x016C	0x8EF2      	BSF         INTCON, 7, 0
;__Lib_System.c,105 :: 		
;__Lib_System.c,107 :: 		
L_end_____DoIFC:
0x016E	0x0012      	RETURN      0
; end of _____DoIFC
__Lib_Mmc_Mmc_Select:
;__Lib_Mmc.c,53 :: 		
;__Lib_Mmc.c,55 :: 		
0x0170	0x948B      	BCF         Mmc_Chip_Select, BitPos(Mmc_Chip_Select+0) 
;__Lib_Mmc.c,65 :: 		
L_end_Mmc_Select:
0x0172	0x0012      	RETURN      0
; end of __Lib_Mmc_Mmc_Select
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x0174	0x0104      	MOVLB       4
0x0176	0xBF60      	BTFSC       FARG_Lcd_Cmd_out_char, 7, 1
0x0178	0xD002      	BRA         L__Lcd_Cmd21
0x017A	0x9481      	BCF         LCD_D7, BitPos(LCD_D7+0) 
0x017C	0xD001      	BRA         L__Lcd_Cmd22
L__Lcd_Cmd21:
0x017E	0x8481      	BSF         LCD_D7, BitPos(LCD_D7+0) 
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x0180	0xBD60      	BTFSC       FARG_Lcd_Cmd_out_char, 6, 1
0x0182	0xD002      	BRA         L__Lcd_Cmd23
0x0184	0x9681      	BCF         LCD_D6, BitPos(LCD_D6+0) 
0x0186	0xD001      	BRA         L__Lcd_Cmd24
L__Lcd_Cmd23:
0x0188	0x8681      	BSF         LCD_D6, BitPos(LCD_D6+0) 
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x018A	0xBB60      	BTFSC       FARG_Lcd_Cmd_out_char, 5, 1
0x018C	0xD002      	BRA         L__Lcd_Cmd25
0x018E	0x9881      	BCF         LCD_D5, BitPos(LCD_D5+0) 
0x0190	0xD001      	BRA         L__Lcd_Cmd26
L__Lcd_Cmd25:
0x0192	0x8881      	BSF         LCD_D5, BitPos(LCD_D5+0) 
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x0194	0xB960      	BTFSC       FARG_Lcd_Cmd_out_char, 4, 1
0x0196	0xD002      	BRA         L__Lcd_Cmd27
0x0198	0x9A81      	BCF         LCD_D4, BitPos(LCD_D4+0) 
0x019A	0xD001      	BRA         L__Lcd_Cmd28
L__Lcd_Cmd27:
0x019C	0x8A81      	BSF         LCD_D4, BitPos(LCD_D4+0) 
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x019E	0xB041      	BTFSC       __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
0x01A0	0xD002      	BRA         L__Lcd_Cmd29
0x01A2	0x8E81      	BSF         LCD_RS, BitPos(LCD_RS+0) 
0x01A4	0xD001      	BRA         L__Lcd_Cmd30
L__Lcd_Cmd29:
0x01A6	0x9E81      	BCF         LCD_RS, BitPos(LCD_RS+0) 
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x01A8	0x8C81      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,29 :: 		
0x01AA	0xDFC5      	RCALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x01AC	0x9C81      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,33 :: 		
0x01AE	0xB760      	BTFSC       FARG_Lcd_Cmd_out_char, 3, 1
0x01B0	0xD002      	BRA         L__Lcd_Cmd31
0x01B2	0x9481      	BCF         LCD_D7, BitPos(LCD_D7+0) 
0x01B4	0xD001      	BRA         L__Lcd_Cmd32
L__Lcd_Cmd31:
